callsign,freq_mhz,city,state,class,erp_kw,lat,lon
K25PI-D,539,Kasilof,AK,LPT,1.3,60.27556,-151.30889
K25QK-D,539,Anchorage,AK,LPD,1.5,61.16083,-149.85747
K27AI-D,551,"Ninilchik, Etc.",AK,LPT,0.11,60.01022,-151.71278
K31MD-D,575,Kasilof,AK,LPT,0.236,60.27556,-151.30886
K33AF-D,587,Ninilchik,AK,LPT,1.56,60.01022,-151.71278
K35NZ-D,599,Ninilchick,AK,LPT,15.0,60.01022,-151.71278
K36QT-D,605,Girdwood,AK,LPT,0.5,60.95275,-149.11
KACN-LD,491,Anchorage,AK,LPD,0.1,61.16078,-149.85736
KAKM,183,Anchorage,AK,DTV,50.0,61.42222,-149.87444
KATH-LD,599,Juneau-Douglas,AK,LPD,0.1,58.29967,-134.42389
KATN,497,Fairbanks,AK,DTV,16.0,64.92178,-147.71603
KBLT-LD,581,Anchorage,AK,LPD,15.0,61.33578,-149.51561
KCFT-CD,599,Anchorage,AK,DCA,15.0,61.06667,-149.74556
KDMD,587,Anchorage,AK,DTV,68.6,61.33578,-149.51561
KFXF-CD,521,Fairbanks,AK,DCA,15.0,64.81139,-147.70361
KJNP-TV,509,North Pole,AK,DTV,30.9,64.87872,-148.05631
KJUD,201,Juneau,AK,DTV,0.14,58.30111,-134.44222
KLDY-LD,575,Anchorage,AK,LPD,15.0,61.33578,-149.51561
KNIK-LD,85,Anchorage,AK,LPD,0.92,61.06667,-149.74556
KSCT-LD,79,Sitka,AK,LPD,0.619,57.05028,-135.33553
KTBY,509,Anchorage,AK,DTV,234.4,61.21917,-149.89222
KTNL-TV,177,Sitka,AK,DTV,0.35,57.04989,-135.33619
KTOO-TV,195,Juneau,AK,DTV,1.0,58.29958,-134.41456
KTUU-TV,195,Anchorage,AK,DTV,50.0,61.42222,-149.87444
KTVA,557,Anchorage,AK,DTV,28.9,61.19208,-149.90236
KTVF,545,Fairbanks,AK,DTV,27.0,64.87872,-148.05631
KUAC-TV,189,Fairbanks,AK,DTV,30.0,64.91111,-147.77972
KUBD,213,Ketchikan,AK,DTV,0.41,55.34975,-131.67447
KUCB-LD,183,Dutch Harbor,AK,LPT,0.007,53.87547,-166.54219
KYES-TV,177,Anchorage,AK,DTV,50.0,61.42222,-149.87444
KYEX-LD,545,Juneau,AK,LPD,0.11,58.30111,-134.44222
KYUK-LD,479,Bethel,AK,LPD,0.1,60.79175,-161.77508
KYUR,207,Anchorage,AK,DTV,41.0,61.42222,-149.87444
