callsign,freq_mhz,city,state,class,erp_kw,lat,lon,facility_id
KGID,96.300000,,,,4.0,30.193917,-97.03175,190454
KGIF,88.100000,,,,1.5,-14.3225,-170.763056,175279
KGIL,98.500000,,,,0.34,35.477222,-117.699444,183344
KGJX,101.500000,,,,3.02,39.066667,-108.745833,190448
KGKD,90.500000,,,,10.0,41.541111,-97.679167,172512
KGLL,88.100000,,,,0.0,44.230556,-105.4625,122432
KGLZ,89.100000,,,,0.0,46.825,-111.703611,173818
KGNI,88.700000,,,,0.0,38.528056,-106.903889,173011
KGPF,91.100000,,,,1.9,33.121944,-95.605278,137411
KGRH,88.100000,,,,0.35,43.701389,-98.063056,177168
KGRJ,89.900000,,,,21.5,43.799722,-99.315833,172515
KGRP,89.700000,,,,8.9,47.277556,-93.449528,172671
KGSY,88.300000,,,,0.0,45.005,-116.133611,172885
KGUA,88.300000,,,,2.8,38.825,-123.571944,174202
KGUY,91.300000,,,,0.8,36.673611,-101.469167,174792
KGVB,90.900000,,,,7.5,33.738333,-98.907778,173112
KGVM,95.900000,,,,3.6,45.638889,-111.265556,184751
KGVV,90.500000,,,,14.0,36.4625,-98.041111,177142
KGWB,91.100000,,,,0.24,32.679444,-100.914167,175017
KGWP,91.100000,,,,0.0,32.96375,-94.919444,106449
KGWT,93.500000,,,,25.0,28.28425,-98.217028,164180
KGXX,100.700000,,,,1.5,40.443333,-120.643056,183357
KGYA,90.500000,,,,0.05,62.906111,-160.063889,190173
KHAV,107.100000,,,,0.1,29.320556,-99.460833,171015
KHBE,102.100000,,,,6.0,28.574722,-99.619444,171009
KHCF,89.900000,,,,0.16,37.098694,-121.612056,176421
KHCK,91.300000,,,,0.2,35.283611,-109.2475,177144
KHCV,104.300000,,,,6.0,33.7025,-116.011389,191492
KHDL,99.500000,,,,6.0,38.293611,-96.2175,191544
KHDV,107.900000,,,,10.0,46.229444,-114.233611,166088
KHEB,91.900000,,,,0.1,34.9775,-99.409722,175828
KHEC,91.100000,,,,0.125,41.757222,-124.200556,176094
KHEI-FM,107.500000,,,,0.75,20.775278,-156.246944,170177
KHEM,89.300000,,,,0.25,26.898611,-99.2575,172355
KHEV,90.300000,,,,0.49,36.223611,-98.601944,174874
KHEW,88.500000,,,,16.0,48.178333,-109.689167,173443
KHGC,98.500000,,,,6.0,46.557167,-111.917056,170988
KHGQ,101.700000,,,,0.09,66.885833,-157.14,199471
KHHT,98.900000,,,,1.4,35.010278,-119.013333,191523
KHIC,98.500000,,,,20.0,42.215556,-121.7975,190240
KHJM,89.100000,,,,1.25,36.902194,-89.888056,175893
KHJR,88.100000,,,,2.5,38.552583,-92.204,171236
KHKF,92.900000,,,,0.9,45.309722,-117.732778,197870
KHKL,91.900000,,,,0.1,39.693889,-123.578611,106474
KHKO,102.900000,,,,1.1,44.378333,-118.968056,191545
KHKU,94.300000,,,,2.0,21.976556,-159.498528,189523
KHKY,92.700000,,,,0.0,60.909889,-161.432389,198504
KHLW,89.300000,,,,50.0,40.575833,-95.573333,174613
KHMJ,95.100000,,,,0.29,35.897944,-117.288417,189475
KHMR,104.300000,,,,10.5,31.191667,-95.492222,164205
KHMU,100.900000,,,,3.8,35.327778,-119.716111,183310
KHMZ,94.900000,,,,25.0,32.857222,-101.0225,189476
KHNW,88.300000,,,,0.34,47.854444,-120.166389,172300
KHNZ,101.300000,,,,0.12,34.725,-100.536389,198807
KHOI,89.100000,,,,2.75,42.136389,-93.551389,175288
KHOO,90.700000,,,,0.0,58.109167,-135.440833,174406
KHPH,88.700000,,,,6.5,19.720833,-155.921111,173751
KHPS,88.900000,,,,6.2,29.360167,-100.0055,173349
KHRK,97.700000,,,,3.9,36.21625,-97.914972,198763
KHRS,96.300000,,,,0.0025,63.838139,-148.979722,203334
KHRW,92.700000,,,,2.3,44.622222,-107.115833,166062
KHSB-FM,104.700000,,,,2.1,30.736667,-98.292778,181260
KHSF,90.100000,,,,0.3,40.500833,-124.285,172798
KHSG,89.900000,,,,0.075,40.12,-123.691667,172843
KHSQ,107.700000,,,,1.0,40.727222,-123.972778,164090
KHTU,88.100000,,,,0.0,40.073333,-102.234167,176806
KHUI,89.100000,,,,0.2,37.509167,-105.8525,177171
KHUS,98.100000,,,,0.036,65.696667,-156.364444,178866
KHUU,97.100000,,,,0.087,66.047222,-154.255556,199395
KHWG-FM,100.100000,,,,1.8,36.4625,-116.059167,165946
KHWI,92.100000,,,,4.5,19.720833,-155.921111,164211
KHWL,98.700000,,,,0.75,34.870833,-99.293333,189529
KHYG-FM,91.100000,,,,0.0,55.2075,-132.824167,199223
KHYX,102.700000,,,,0.5,41.008333,-117.769167,171502
KHYY,106.900000,,,,25.0,41.863889,-103.705556,164136
KHZY,99.300000,,,,100.0,40.696944,-99.787778,164307
KIAM-FM,91.900000,,,,0.95,64.577778,-149.078056,174373
KIAN,91.900000,,,,0.0,66.974167,-160.4275,180910
KIAO,90.300000,,,,0.46,64.057222,-145.651944,173632
KIBE,104.900000,,,,0.7,34.033611,-94.743056,190410
KIBH-FM,91.700000,,,,0.92,60.161722,-149.391194,176521
KIBQ,105.900000,,,,6.0,28.463056,-96.770833,198765
KICL,96.300000,,,,5.4,41.33275,-93.086194,164103
KICO,89.500000,,,,0.125,37.692222,-108.031944,174903
KICP,105.900000,,,,15.0,41.310389,-93.838556,164102
KIEA,91.900000,,,,0.0,66.6075,-160.011944,180909
KIEE,88.300000,,,,25.0,29.825278,-91.663611,173391
KIEL,89.300000,,,,6.0,36.061944,-98.211111,174679
KIGG,103.300000,,,,0.0,59.327778,-155.894722,199839
KIGI,106.900000,,,,0.0,59.316667,-155.906389,203610
KIHT,104.700000,,,,0.76,34.719444,-115.654167,191521
KIJI,104.300000,,,,8.6,13.432806,144.712556,164176
KIMI,107.700000,,,,6.1,40.231944,-95.971389,189501
KIMW,105.500000,,,,6.0,32.518611,-93.299722,191575
KIMX,104.500000,,,,13.5,41.285,-105.444722,190378
KIND-FM,94.900000,,,,6.0,37.261667,-95.766389,171002
KINS-FM,106.300000,,,,3.3,40.727472,-123.971389,165975
KINU,89.900000,,,,0.1,66.896111,-162.596111,171728
KINX,102.700000,,,,93.3,47.606667,-111.358611,164133
KIOE,91.300000,,,,1.5,-14.3225,-170.763056,177194
KIPE,89.700000,,,,0.32,40.627361,-124.183389,176712
KIPH,88.300000,,,,0.25,20.750972,-156.00475,172436
KIPI,93.500000,,,,100.0,45.025556,-101.239444,199400
KIPL,89.900000,,,,1.0,21.976556,-159.498528,174337
KIPM,89.700000,,,,14.5,20.709444,-156.263611,172438
KIQN,103.300000,,,,100.0,37.781111,-104.534167,164269
KIRQ,106.700000,,,,97.0,43.279167,-114.153889,166021
KISK,104.900000,,,,1.5,35.252222,-114.749444,164263
KISY,92.700000,,,,29.0,33.646111,-95.526389,189551
KITF,88.300000,,,,5.8,48.473333,-93.333056,122662
KITT,106.500000,,,,0.25,31.90475,-97.680389,198784
KIVM,91.100000,,,,1.0,30.364167,-98.911667,171707
KIXT,106.700000,,,,10.0,31.355556,-97.232222,170995
KIYE,88.700000,,,,15.0,46.2525,-116.41,174013
KIYU-FM,88.100000,,,,0.1,64.742778,-156.841667,178861
KJAG,107.700000,,,,0.12,33.618889,-100.321389,198806
KJBI,100.100000,,,,51.0,44.308333,-100.346944,164144
KJCC,89.500000,,,,23.5,35.354722,-98.232778,122517
KJCF,89.300000,,,,0.175,46.332222,-117.042778,106475
KJCN,107.500000,,,,1.87,38.429167,-120.056944,185149
KJDE,100.100000,,,,3.4,32.396253,-98.773556,198775
KJDM,101.700000,,,,15.5,38.666667,-97.691667,164240
KJDR,88.100000,,,,1.0,36.674167,-101.469167,175032
KJEM,89.900000,,,,2.3,46.696389,-117.245556,171613
KJFK-FM,96.300000,,,,25.0,30.980556,-98.686944,198631
KJGM,88.300000,,,,0.0,32.620139,-91.729861,174146
KJGS,91.900000,,,,0.2,40.871667,-98.0025,175743
KJGT,88.300000,,,,11.0,44.788889,-93.9075,172741
KJHF,103.100000,,,,3.4,20.844722,-156.901111,198744
KJHL,90.900000,,,,10.0,36.734722,-102.498056,175834
KJIH,89.900000,,,,3.5,39.340833,-96.518333,171769
KJIV,96.500000,,,,1.0,44.437972,-120.953833,185102
KJJB,95.300000,,,,25.0,29.599444,-96.4975,171037
KJJS,103.900000,,,,4.5,26.9175,-99.25,162400
KJJZ,95.900000,,,,1.75,33.801111,-116.224444,165313
KJKB,106.700000,,,,1.4,31.738111,-98.956333,198730
KJKQ,99.500000,,,,25.0,45.663889,-97.168889,183354
KJKR,88.100000,,,,0.0,46.910278,-98.707778,177249
KJLJ,88.500000,,,,25.0,38.548611,-100.960278,174179
KJMO,97.500000,,,,6.0,38.499139,-91.883444,162262
KJMT,97.100000,,,,5.2,36.091944,-92.262778,162375
KJND-FM,90.700000,,,,5.0,48.141667,-103.892778,175935
KJNR,91.900000,,,,0.0,60.794778,-161.771528,174904
KJOK,102.700000,,,,50.0,34.609444,-99.849167,181077
KJOL-FM,91.900000,,,,0.475,38.468889,-107.884722,175928
KJPN,89.300000,,,,0.1,34.287778,-111.192778,175859
KJSA,89.700000,,,,10.5,35.924722,-90.854444,176248
KJSB,88.300000,,,,0.0,35.81,-90.8125,106689
KJSD,90.300000,,,,10.5,45.019389,-96.945194,171810
KJTF,89.300000,,,,0.69,40.996944,-100.879722,175433
KJTT,88.300000,,,,1.9,42.225,-93.561111,172392
KJVI,105.700000,,,,6.0,31.876722,-100.293111,191551
KJVL,88.100000,,,,0.57,38.054444,-97.930556,174370
KJXN,105.100000,,,,0.9,43.461667,-110.753333,164154
KJZC,90.500000,,,,0.865,42.820556,-102.996667,175621
KJZK,90.700000,,,,0.03,35.081389,-113.853889,173030
KJZP,90.100000,,,,0.027,34.490278,-112.533333,173032
KKAG,88.300000,,,,0.05,45.863333,-116.122778,172903
KKBO,105.900000,,,,100.0,46.571944,-100.795,166041
KKCV,102.500000,,,,100.0,37.957778,-99.429222,164111
KKDL,93.700000,,,,2.5,28.648056,-99.180556,170977
KKDT,93.500000,,,,95.0,38.608889,-99.703056,164130
KKEE,101.300000,,,,5.2,31.243333,-95.977778,191507
KKET,95.900000,,,,0.099,66.564722,-152.643889,199490
KKHI,95.900000,,,,19.0,20.844722,-156.901111,164280
KKIT,95.900000,,,,4.0,36.389972,-105.586333,164164
KKJD,91.300000,,,,0.19,33.244167,-116.375,172590
KKJJ,88.500000,,,,0.0,36.381583,-92.93525,174525
KKJK,103.100000,,,,100.0,40.815833,-98.771667,164157
KKLK,89.300000,,,,0.0,63.695833,-170.478889,203398
KKLM,104.100000,,,,4.1,33.466306,-117.140778,183309
KKLP,91.100000,,,,0.2,33.830306,-116.953056,175839
KKML,90.900000,,,,0.21,32.531944,-93.27,173617
KKNL,89.300000,,,,0.25,42.889444,-100.554167,122329
KKQX,105.700000,,,,12.3,45.637778,-111.268056,164232
KKRH,90.900000,,,,1.9,45.863333,-116.122778,172786
KKRN,88.500000,,,,0.6,40.906389,-121.8275,172603
KKVR,106.100000,,,,6.0,30.040833,-99.171944,164166
KKVU,104.500000,,,,12.5,46.801667,-113.972778,162327
KKWB,102.500000,,,,50.0,47.739167,-94.686111,165963
KKWE,89.900000,,,,60.0,46.899444,-95.520556,174165
KKWZ,95.300000,,,,6.0,48.354167,-99.992222,165964
KKYZ,101.700000,,,,0.1,31.635,-110.3325,171023
KKZU,101.700000,,,,50.0,35.370278,-99.627778,171021
KLAP,89.500000,,,,0.13,40.651667,-119.353889,174022
KLBD,88.100000,,,,0.1,27.288889,-98.123056,176117
KLCF,91.100000,,,,1.0,32.967778,-107.226944,175456
KLCJ,104.100000,,,,6.0,30.003056,-93.084722,183334
KLDE,104.900000,,,,50.0,30.865278,-100.593333,170941
KLEC,90.500000,,,,0.0,37.036667,-100.909167,175029
KLED,93.300000,,,,13.5,44.243056,-105.538611,166061
KLFT,90.500000,,,,17.0,29.869444,-92.301944,172397
KLGG,89.300000,,,,0.002,47.492222,-116.1425,172927
KLGL,94.500000,,,,66.0,39.321389,-111.769722,181075
KLGU,90.300000,,,,2.0,36.846944,-113.491111,122306
KLHI-FM,92.500000,,,,1.7,20.66,-156.363889,166083
KLHQ,99.500000,,,,0.3,38.711389,-107.605278,190375
KLJV,88.300000,,,,0.39,41.839167,-103.831389,121887
KLKF,100.700000,,,,0.8,42.096667,-121.6325,190241
KLKR,89.300000,,,,5.0,40.921667,-115.849444,174342
KLKV,99.900000,,,,11.0,30.1475,-99.220556,165377
KLKY,96.100000,,,,8.5,45.486667,-119.431111,164091
KLMB,99.900000,,,,5.0,46.25075,-108.483389,183371
KLMD,101.100000,,,,5.5,42.299167,-122.748889,166023
KLMI,106.100000,,,,50.0,41.484722,-106.051667,164207
